Zip Code,Less than $100,$100-$200,$200-$300,$300-$400,$400-$500,$500-$600,$600-$700,$700-$800,$800-$900,$900-$1000,More than $1000,Total number of delinquent residential accounts,PWSID,Size,row sum
91321,88.0,35.0,15.0,8.0,5.0,5.0,2.0,0.0,0.0,0.0,1.0,159.0,CA1910017,Large,159.0
91326,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,CA1910017,Large,6.0
91350,4002.0,922.0,158.0,74.0,54.0,18.0,11.0,10.0,8.0,1.0,10.0,5268.0,CA1910017,Large,5268.0
91351,2150.0,403.0,71.0,52.0,28.0,21.0,6.0,9.0,4.0,2.0,1.0,2747.0,CA1910017,Large,2747.0
91355,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,CA1910017,Large,2.0
91387,413.0,121.0,46.0,30.0,22.0,9.0,5.0,1.0,7.0,3.0,7.0,664.0,CA1910017,Large,664.0
91390,109.0,29.0,12.0,8.0,7.0,2.0,1.0,1.0,2.0,0.0,0.0,171.0,CA1910017,Large,171.0
90601,15.0,14.0,8.0,13.0,6.0,0.0,5.0,3.0,3.0,0.0,0.0,67.0,CA1910039,Large,67.0
90606,98.0,45.0,35.0,26.0,12.0,6.0,3.0,3.0,2.0,3.0,2.0,235.0,CA1910039,Large,235.0
90640,5.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,CA1910039,Large,10.0
90660,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,CA1910039,Large,1.0
90670,12.0,4.0,6.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,CA1910039,Large,29.0
91706,28.0,22.0,17.0,8.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,87.0,CA1910039,Large,87.0
91731,9.0,10.0,0.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,26.0,CA1910039,Large,26.0
91732,100.0,58.0,46.0,34.0,28.0,14.0,11.0,6.0,1.0,1.0,4.0,303.0,CA1910039,Large,303.0
91733,90.0,53.0,41.0,25.0,14.0,8.0,8.0,4.0,3.0,6.0,8.0,260.0,CA1910039,Large,260.0
91744,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,CA1910039,Large,2.0
91745,44.0,30.0,32.0,21.0,16.0,14.0,6.0,2.0,6.0,3.0,11.0,185.0,CA1910039,Large,185.0
