Water.System.No.,Unnamed,Regulating Agency,System Name,Fed Type,State Type,DS Class,Max TP Class,Fee Code,SC,Pop,Last SNSV,tag,log SC
4110003,25,DISTRICT 17 - SANTA CLARA,CITY OF BURLINGAME,C,C,D3,There are no treatment plants,C1,8728,31056,3/19/2018,Bin D,3.94091473758029
3310007,32,DISTRICT 20 - RIVERSIDE,COACHELLA WATER AUTHORITY,C,C,D4,Operator is not required,C1,8396,45407,12/20/2017,Bin D,3.92407242991036
4110021,36,DISTRICT 17 - SANTA CLARA,ESTERO MUNICIPAL IMPROVEMENT DISTRICT,C,C,D3,There are no treatment plants,C1,8160,37687,2/28/2018,Bin D,3.91169015875386
1910245,66,DISTRICT 22 - ANGELES,"SANTA FE SPRINGS - CITY, WATER DEPT.",C,C,D4,There are no treatment plants,C1,6788,18533,8/1/2019,Bin D,3.83174183364564
4110011,70,DISTRICT 17 - SANTA CLARA,COASTSIDE COUNTY WATER DISTRICT,C,C,D3,T3,C1,6530,16811,8/21/2019,Bin D,3.81491318127507
3610049,53,DISTRICT 13 - SAN BERNARDINO,TWENTYNINE PALMS WATER DISTRICT,C,C,D4,T2,DAVCL,7049,18795,11/19/2019,Bin D,3.84812751056787
3710016,35,DISTRICT 14 - SAN DIEGO,RAINBOW MUNICIPAL WD,C,C,D4,There are no treatment plants,C1,8254,44726,1/17/2017,Bin D,3.9166644645414
1910028,37,DISTRICT 15 - METROPOLITAN,CRESCENTA VALLEY CWD,C,C,D4,T3,C1,8004,33203,9/26/2017,Bin D,3.90330707996417
3010079,8,DISTRICT 08 - SANTA ANA,EL TORO WATER DISTRICT,C,C,D5,There are no treatment plants,C1,9583,49054,12/3/2019,Bin D,3.98150148814825
3310016,13,DISTRICT 20 - RIVERSIDE,"HEMET, CITY OF",C,C,D3,T2,DAVCL,9325,29982,5/17/2018,Bin D,3.9696488404807297
4210006,4,DISTRICT 06 - SANTA BARBARA,LOMPOC-CITY WATER UTILITY DIV,C,C,D3,T3,C1,9818,40759,2/26/2019,Bin D,3.99202302776385
5010017,69,DISTRICT 10 - STOCKTON,"PATTERSON, CITY OF",C,C,D4,TD,C1,6591,22679,5/14/2018,Bin D,3.8189513116401703
1210009,43,DISTRICT 01 - KLAMATH,HUMBOLDT C.S.D.,C,C,D4,There are no treatment plants,DAVCL,7532,24885,5/20/2020,Bin D,3.87691031134463
1910127,27,DISTRICT 07 - HOLLYWOOD,"COVINA-CITY, WATER DEPT.",C,C,D4,There are no treatment plants,C1,8499,33300,12/13/2017,Bin D,3.9293678292401
3710018,59,DISTRICT 14 - SAN DIEGO,RINCON DEL DIABLO MWD (ID-1),C,C,D4,There are no treatment plants,C1,6971,27255,4/4/2017,Bin D,3.84329508273651
1910030,14,DISTRICT 15 - METROPOLITAN,GSWC - CULVER CITY,C,C,D4,T1,C1,9268,36271,7/30/2019,Bin D,3.9669860251179396
1910042,11,DISTRICT 07 - HOLLYWOOD,"PICO RIVERA - CITY, WATER DEPT.",C,C,D4,TD,C1,9433,40702,4/24/2018,Bin D,3.97464983443872
4110001,24,DISTRICT 17 - SANTA CLARA,MID-PENINSULA WATER DISTRICT,C,C,D3,There are no treatment plants,C1,8728,28050,2/1/2018,Bin D,3.94091473758029
1510022,42,DISTRICT 12 - VISALIA,WEST KERN WATER DISTRICT,C,C,D4,T2,C1,7537,22863,12/13/2018,Bin D,3.87719851527179
3710013,56,DISTRICT 14 - SAN DIEGO,LAKESIDE WD,C,C,D4,T2,C1,6986,35500,12/15/2016,Bin D,3.84422858130163
4010001,67,DISTRICT 06 - SANTA BARBARA,"ARROYO GRANDE, WATER DEPARTMENT",C,C,D4,T2,C1,6783,17641,8/29/2017,Bin D,3.8314218170650203
1910062,22,DISTRICT 15 - METROPOLITAN,"LA VERNE, CITY WD",C,C,D4,T3,C1,8794,32206,1/22/2018,Bin D,3.9441864612836897
3610120,62,DISTRICT 13 - SAN BERNARDINO,PHELAN PINON HILLS CSD,C,C,D4,TD,C1,6898,22763,11/14/2016,Bin D,3.83872319003137
5610063,23,DISTRICT 06 - SANTA BARBARA,CAMROSA WATER DISTRICT,C,C,D4,T3,C1,8751,30000,9/6/2019,Bin D,3.9420576838414
3610043,20,DISTRICT 13 - SAN BERNARDINO,GOLDEN STATE WATER CO - BARSTOW,C,C,D4,T2,C1,8926,31641,11/8/2016,Bin D,3.95065688250451
4910013,57,DISTRICT 18 - SONOMA,VALLEY OF THE MOON WATER DISTRICT,C,C,D4,T2,C1,6981,27000,8/30/2018,Bin D,3.84391763800639
