"","PWSID","final.weight","base.weight","fpc","voluntary"
"62","CA3610004",1.72742281751773,1.7421875,0.573991031390135,"n"
"63","CA3710002",1.76828193686434,1.7421875,0.573991031390135,"y"
"64","CA3610036",1.68747397988498,1.7421875,0.573991031390135,"n"
"65","CA4310022",1.7196735667708,1.7421875,0.573991031390135,"n"
"66","CA3310049",1.7232763720455,1.7421875,0.573991031390135,"n"
"67","CA3610012",1.70506333853183,1.7421875,0.573991031390135,"n"
"68","CA3610003",1.74294813873242,1.7421875,0.573991031390135,"n"
"69","CA3010064",1.80494517471888,1.7421875,0.573991031390135,"n"
"70","CA3410014",1.75951200563255,1.7421875,0.573991031390135,"n"
"71","CA2110003",1.6663675131916,1.7421875,0.573991031390135,"n"
"72","CA4910006",1.74979854750575,1.7421875,0.573991031390135,"n"
"73","CA1910225",1.86383396359608,1.7421875,0.573991031390135,"n"
"74","CA1910174",1.72828856305888,1.7421875,0.573991031390135,"n"
"75","CA4310009",1.79529652162587,1.7421875,0.573991031390135,"n"
"76","CA3310002",1.96571697810084,1.7421875,0.573991031390135,"n"
"77","CA3110004",1.8465315905771,1.7421875,0.573991031390135,"n"
"78","CA3010003",1.72167427263848,1.7421875,0.573991031390135,"n"
"79","CA5010019",1.74919092248653,1.7421875,0.573991031390135,"n"
"80","CA0710008",1.82053724083951,1.7421875,0.573991031390135,"n"
"81","CA5110002",1.76482605581946,1.7421875,0.573991031390135,"n"
"82","CA4310007",1.77869690772119,1.7421875,0.573991031390135,"n"
"83","CA1610003",1.82342436406066,1.7421875,0.573991031390135,"n"
"84","CA5710001",1.78847015488944,1.7421875,0.573991031390135,"n"
"85","CA5610020",1.82827311181965,1.7421875,0.573991031390135,"n"
"86","CA1910146",1.64280672985773,1.7421875,0.573991031390135,"n"
"87","CA5710006",2.08055329845603,1.7421875,0.573991031390135,"n"
"88","CA5410010",1.80984605727695,1.7421875,0.573991031390135,"n"
"89","CA1910211",2.03898405766752,1.7421875,0.573991031390135,"n"
"90","CA1910051",1.65473736647976,1.7421875,0.573991031390135,"n"
"91","CA1910019",2.3521910036364,1.7421875,0.573991031390135,"n"
"92","CA5710003",2.07710480854491,1.7421875,0.573991031390135,"n"
"93","CA3610044",1.68995751041696,1.7421875,0.573991031390135,"n"
"94","CA4310004",2.48035262862061,1.7421875,0.573991031390135,"n"
"95","CA4410011",1.66452949132221,1.7421875,0.573991031390135,"n"
"96","CA1910152",1.64524830504383,1.7421875,0.573991031390135,"n"
"97","CA4410017",2.43985462967263,1.7421875,0.573991031390135,"n"
"98","CA0910002",1.80794432203369,1.7421875,0.573991031390135,"n"
"99","CA3010046",2.25785326353462,1.7421875,0.573991031390135,"n"
"100","CA3710015",2.10476590000421,1.7421875,0.573991031390135,"n"
