GEO_ID,NAME,Median_12month_HH_Income,B19013_001MarginOfError
1400000US06037501400,"Census Tract 5014, Los Angeles County, California",44417,11881
1400000US06083002101,"Census Tract 21.01, Santa Barbara County, California",49500,12577
1400000US06037502302,"Census Tract 5023.02, Los Angeles County, California",52308,13570
1400000US06059088904,"Census Tract 889.04, Orange County, California",67150,27486
1400000US06029005104,"Census Tract 51.04, Kern County, California",94958,32613
1400000US06037183220,"Census Tract 1832.20, Los Angeles County, California",56710,5511
1400000US06037231100,"Census Tract 2311, Los Angeles County, California",29226,7811
1400000US06073008366,"Census Tract 83.66, San Diego County, California",163274,8933
1400000US06065045501,"Census Tract 455.01, Riverside County, California",42917,5622
1400000US06001451404,"Census Tract 4514.04, Alameda County, California",69701,11564
1400000US06075017801,"Census Tract 178.01, San Francisco County, California",22450,9996
1400000US06059042310,"Census Tract 423.10, Orange County, California",64146,9639
1400000US06037570301,"Census Tract 5703.01, Los Angeles County, California",38293,4598
1400000US06083003102,"Census Tract 31.02, Santa Barbara County, California",77197,13905
1400000US06037401002,"Census Tract 4010.02, Los Angeles County, California",77813,28102
1400000US06073010104,"Census Tract 101.04, San Diego County, California",63735,3134
1400000US06075013300,"Census Tract 133, San Francisco County, California",162500,20053
1400000US06037123901,"Census Tract 1239.01, Los Angeles County, California",50132,16069
1400000US06107000401,"Census Tract 4.01, Tulare County, California",51707,8777
1400000US06095252705,"Census Tract 2527.05, Solano County, California",84545,10786
1400000US06001427900,"Census Tract 4279, Alameda County, California",102077,14424
1400000US06029001201,"Census Tract 12.01, Kern County, California",35172,10284
1400000US06001425104,"Census Tract 4251.04, Alameda County, California",70385,15207
1400000US06085501401,"Census Tract 5014.01, Santa Clara County, California",47469,4354
1400000US06037117510,"Census Tract 1175.10, Los Angeles County, California",42432,8791
1400000US06081606300,"Census Tract 6063, San Mateo County, California",90025,6811
1400000US06013360101,"Census Tract 3601.01, Contra Costa County, California",87778,18063
1400000US06071002207,"Census Tract 22.07, San Bernardino County, California",60982,18955
1400000US06067002300,"Census Tract 23, Sacramento County, California",115071,9942
1400000US06085505302,"Census Tract 5053.02, Santa Clara County, California",103438,29074
